record_count,avg_popularity,avg_duration_ms
300,53.32666666666667,217684.82
300,27.743333333333332,302499.07666666666
300,32.166666666666664,236957.88666666666
300,29.29,245362.96
300,42.263333333333335,200647.11333333334
300,36.74333333333333,156775.23333333334
300,18.30666666666667,372428.54333333333
300,43.04333333333334,222366.08333333334
300,46.93,189827.24
300,31.06,225606.17666666667
300,54.39333333333333,239692.99666666667
300,29.523333333333333,227221.75666666665
299,18.287625418060202,128660.21404682274
299,50.48494983277592,199557.73913043478
299,27.076923076923077,320898.8127090301
299,49.97324414715719,232411.4949832776
298,55.83221476510067,196038.40604026846
297,45.36363636363637,131473.06397306398
295,59.671186440677964,166063.12881355933
293,44.6382252559727,199110.60068259385
292,15.976027397260275,364652.7705479452
288,35.135416666666664,249726.89930555556
288,49.11805555555556,247806.57638888888
286,49.7027972027972,234194.08041958042
284,44.528169014084504,197383.89436619717
283,59.0,184764.81272084804
283,35.26855123674912,261309.148409894
282,37.9290780141844,212881.83333333334
282,37.90425531914894,207557.35460992908
282,49.43971631205674,294354.74822695035
282,51.58510638297872,212923.24822695035
281,50.07829181494662,225168.5409252669
281,50.188612099644125,275675.35231316724
280,41.917857142857144,246959.82142857142
278,34.827338129496404,207087.88129496403
276,34.05434782608695,306798.6231884058
273,55.747252747252745,205761.38461538462
268,52.17164179104478,203888.5
254,49.13779527559055,220245.02362204724
248,49.07258064516129,219919.51612903227
243,47.074074074074076,222123.93004115226
243,41.440329218106996,228318.87242798353
242,60.578512396694215,234002.11157024794
221,52.52488687782805,193259.43891402715
209,55.60287081339713,273864.0861244019
193,44.24352331606217,282692.7875647668
187,44.81283422459893,332774.9304812834
173,54.1849710982659,190921.50867052024
129,40.007751937984494,204738.00775193798
41,46.951219512195124,217006.9512195122
